SLP1	RVS	RVV	SVK	SVR	SVJ	YVVM	YVVK	YVM	YVKp	YVK	YVT	AVS	AVP	SB
a	U0905	U0905	U0905	U0905	U0905	U0905	U0905	U0905	U0905	U0905	U0905	U0905	U0905	U0905
a~	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901	U0905+0901
a/	U0905	U0905+0951	U0905+A8E1			U0905	U0905	U0905+0951	U0905	U0905+0951	U0905	U0905	U0905+0951	U0905
a/~	U0905+0901	U0905+0901+0951	U0905+0901+A8E1			U0905+0901	U0905+0901	U0905+0901+0951	U0905+0901	U0905+0901+0951	U0905+0901	U0905+0901	U0905+0901+0951	U0905+0901
a\	U0905+0952	U0905	U0905+A8E3			U0905+0952	U0905+0952	U0905+0952	U0905+0952	U0905+1CDC	U0905+0952	U0905+0952	U0905+1CDC	U0905+0952/U0905+1CD8/U0905+1CDE/U0905+1CDF/U0905+1CDF+1CDF
a\~	U0905+0901+0952	U0905+0901	U0905+0901+A8E3			U0905+0901+0952	U0905+0901+0952	U0905+0901+0952	U0905+0901+0952	U0905+0901+1CDC	U0905+0901+0952	U0905+0901+0952	U0905+0901+1CDC	U0905+0901+0952/U0905+0901+1CD8
a^	U0905+0951	U0905+1CE0/U0905+0969+0952	U0905+A8E2			U0905+1CD6/U0905+1CD5	U0905+0951/U0905+0952	U0905+1CD8/U0969+0905+0952	U0905+0951/U0905+0952	U0905+1CD7/U0905+1CD8/U0905+1CD5/{U0905+1CD9}	U0905+0951	U0905+1CE1	U0905+1CD6	
a^~	U0905+0901+0951	U0905+0901+1CE0/U0905+0901+0969+0952	U0905+0901+A8E2			U0905+0901+1CD6/U0905+0901+1CD5	U0905+0901+0951/U0905+0901+0952	U0905+0901+1CD8/U0969+0905+0901+0952	U0905+0901+0951/U0905+0901+0952	U0905+0901+1CD7/U0905+0901+1CD5/U0905+0901+1CD8/{U0905+0901+1CD9}	U0905+0901+0951	U0905+0901+1CE1	U0905+0901+1CD6	
a/8	U0905	U0905+0951	U0905+A8E1/U0905+A8E1+A8EF/U0905+A8E2/U0905+A8E2+A8EB			U0905	U0905	U0905+0951	U0905	U0905+0951	U0905	U0905	U0905+0951	U0905
a/8~	U0905+0901	U0905+0901+0951	U0905+0901+A8E1/U0905+0901+A8E1+A8EF/U0905+0901+A8E2/U0905+0901+A8E2+A8EB			U0905+0901	U0905+0901	U0905+0901+0951	U0905+0901	U0905+0901+0951	U0905+0901	U0905+0901	U0905+0901+0951	U0905+0901
